Date,Return,Return_Predicted,Movement_Predicted,Movement_Real,Hit,Investiment_Return
2021-03-30 20:25,-1.9999,0.02263,Up,Down,0,-1.9999
2021-03-30 20:30,-2.0,0.02126,Up,Down,0,-2.0
2021-03-30 20:35,0.00019,0.02266,Up,Up,1,0.00019
2021-03-30 20:40,-0.0001,0.02271,Up,Down,0,-0.0001
2021-03-30 20:45,2.99999,0.0227,Up,Up,1,2.99999
2021-03-30 20:50,-7.0,0.02294,Up,Down,0,-7.0
2021-03-30 20:55,0.0,0.02303,Up,Down,0,0.0
2021-03-30 21:00,-8.9999,0.01734,Up,Down,0,-8.9999
2021-03-30 21:05,4.0,0.0201,Up,Up,1,4.0
2021-03-30 21:10,0.00012,0.01754,Up,Up,1,0.00012
2021-03-30 21:15,4.0,0.01612,Up,Up,1,4.0
2021-03-30 21:20,-1.0,0.01675,Up,Down,0,-1.0
2021-03-30 21:25,-5.9999,0.01611,Up,Down,0,-5.9999
2021-03-30 21:30,2.99999,0.01872,Up,Up,1,2.99999
2021-03-30 21:35,-4.0,0.01793,Up,Down,0,-4.0
2021-03-30 21:40,-7.0,0.02265,Up,Down,0,-7.0
2021-03-30 21:45,2.99999,0.02268,Up,Up,1,2.99999
2021-03-30 21:50,0.0001,0.02272,Up,Up,1,0.0001
2021-03-30 21:55,9.99999,0.0227,Up,Up,1,9.99999
2021-03-30 22:00,-9.9999,0.02282,Up,Down,0,-9.9999
2021-03-30 22:05,-1.0,0.02286,Up,Down,0,-1.0
2021-03-30 22:10,-9.0,0.02271,Up,Down,0,-9.0
2021-03-30 22:15,5.0,0.02273,Up,Up,1,5.0
2021-03-30 22:20,8.0,0.02272,Up,Up,1,8.0
2021-03-30 22:25,-0.0001,0.02266,Up,Down,0,-0.0001
2021-03-30 22:30,-1.0,0.02285,Up,Down,0,-1.0
2021-03-30 22:35,-9.9999,0.02282,Up,Down,0,-9.9999
2021-03-30 22:40,0.00011,0.02266,Up,Up,1,0.00011
2021-03-30 22:45,-3.0,0.02126,Up,Down,0,-3.0
2021-03-30 22:50,0.0,0.02269,Up,Down,0,0.0
2021-03-30 22:55,2.0,0.02146,Up,Up,1,2.0
2021-03-30 23:00,7.0,0.0231,Up,Up,1,7.0
2021-03-30 23:05,-5.9999,0.02284,Up,Down,0,-5.9999
2021-03-30 23:10,0.00014,0.02271,Up,Up,1,0.00014
2021-03-30 23:15,0.00022,0.02265,Up,Up,1,0.00022
2021-03-30 23:20,0.0,0.01968,Up,Down,0,0.0
2021-03-30 23:25,4.0,0.01987,Up,Up,1,4.0
2021-03-30 23:30,1.0,0.02261,Up,Up,1,1.0
2021-03-30 23:35,8.99999,0.02276,Up,Up,1,8.99999
2021-03-30 23:40,4.0,0.02269,Up,Up,1,4.0
2021-03-30 23:45,-1.0,0.02241,Up,Down,0,-1.0
2021-03-30 23:50,-2.9999,0.02262,Up,Down,0,-2.9999
2021-03-30 23:55,-0.0001,0.02269,Up,Down,0,-0.0001
2021-03-31 00:00,-0.0001,0.02306,Up,Down,0,-0.0001
2021-03-31 00:05,0.00026,0.02283,Up,Up,1,0.00026
2021-03-31 00:10,-0.0001,0.02295,Up,Down,0,-0.0001
2021-03-31 00:15,4.99999,0.02311,Up,Up,1,4.99999
2021-03-31 00:20,0.0001,0.02281,Up,Up,1,0.0001
2021-03-31 00:25,5.99999,0.0227,Up,Up,1,5.99999
2021-03-31 00:30,-0.0001,0.02308,Up,Down,0,-0.0001
2021-03-31 00:35,-9.9999,0.02295,Up,Down,0,-9.9999
2021-03-31 00:40,7.0,0.02295,Up,Up,1,7.0
2021-03-31 00:45,7.99999,0.02277,Up,Up,1,7.99999
2021-03-31 00:50,-0.0001,0.02394,Up,Down,0,-0.0001
2021-03-31 00:55,-0.0001,0.02328,Up,Down,0,-0.0001
2021-03-31 01:00,0.00017,0.02304,Up,Up,1,0.00017
2021-03-31 01:05,-0.0001,0.02274,Up,Down,0,-0.0001
2021-03-31 01:10,-8.0,0.02302,Up,Down,0,-8.0
2021-03-31 01:15,-0.0002,0.02287,Up,Down,0,-0.0002
2021-03-31 01:20,-9.9999,0.02277,Up,Down,0,-9.9999
2021-03-31 01:25,-0.0003,0.02299,Up,Down,0,-0.0003
2021-03-31 01:30,0.00014,0.02318,Up,Up,1,0.00014
2021-03-31 01:35,-0.0003,0.02308,Up,Down,0,-0.0003
2021-03-31 01:40,-5.0,0.02341,Up,Down,0,-5.0
2021-03-31 01:45,0.00012,0.02308,Up,Up,1,0.00012
2021-03-31 01:50,0.00018,0.02281,Up,Up,1,0.00018
2021-03-31 01:55,-0.0002,0.0228,Up,Down,0,-0.0002
2021-03-31 02:00,5.0,0.02286,Up,Up,1,5.0
2021-03-31 02:05,-2.9999,0.02295,Up,Down,0,-2.9999
2021-03-31 02:10,8.99999,0.02312,Up,Up,1,8.99999
2021-03-31 02:15,-8.9999,0.02295,Up,Down,0,-8.9999
2021-03-31 02:20,-0.0001,0.02272,Up,Down,0,-0.0001
2021-03-31 02:25,-4.0,0.02304,Up,Down,0,-4.0
2021-03-31 02:30,9.99999,0.02285,Up,Up,1,9.99999
2021-03-31 02:35,-4.9999,0.02287,Up,Down,0,-4.9999
2021-03-31 02:40,8.99999,0.02299,Up,Up,1,8.99999
2021-03-31 02:45,0.00011,0.02284,Up,Up,1,0.00011
2021-03-31 02:50,-0.0005,0.02275,Up,Down,0,-0.0005
2021-03-31 02:55,-4.0,0.02335,Up,Down,0,-4.0
2021-03-31 03:00,8.99999,0.0232,Up,Up,1,8.99999
2021-03-31 03:05,4.0,0.02336,Up,Up,1,4.0
2021-03-31 03:10,-8.9999,0.02305,Up,Down,0,-8.9999
2021-03-31 03:15,0.00011,0.02289,Up,Up,1,0.00011
2021-03-31 03:20,9.0,0.02281,Up,Up,1,9.0
2021-03-31 03:25,-9.0,0.02302,Up,Down,0,-9.0
2021-03-31 03:30,0.0,0.02297,Up,Down,0,0.0
2021-03-31 03:35,3.0,0.02287,Up,Up,1,3.0
2021-03-31 03:40,-0.0001,0.02287,Up,Down,0,-0.0001
2021-03-31 03:45,-4.9999,0.02297,Up,Down,0,-4.9999
2021-03-31 03:50,4.99999,0.0228,Up,Up,1,4.99999
2021-03-31 03:55,-0.0001,0.02273,Up,Down,0,-0.0001
2021-03-31 04:00,3.99999,0.02305,Up,Up,1,3.99999
2021-03-31 04:05,-3.9999,0.02285,Up,Down,0,-3.9999
2021-03-31 04:10,-0.0001,0.0229,Up,Down,0,-0.0001
2021-03-31 04:15,1.99999,0.02301,Up,Up,1,1.99999
2021-03-31 04:20,-3.9999,0.0228,Up,Down,0,-3.9999
2021-03-31 04:25,3.99999,0.02272,Up,Up,1,3.99999
2021-03-31 04:30,0.00014,0.02284,Up,Up,1,0.00014
2021-03-31 04:35,8.0,0.02285,Up,Up,1,8.0
2021-03-31 04:40,-4.0,0.02293,Up,Down,0,-4.0
2021-03-31 04:45,-8.9999,0.02283,Up,Down,0,-8.9999
2021-03-31 04:50,0.00021,0.02299,Up,Up,1,0.00021
2021-03-31 04:55,-2.9999,0.02302,Up,Down,0,-2.9999
2021-03-31 05:00,1.99999,0.02289,Up,Up,1,1.99999
2021-03-31 05:05,5.0,0.02287,Up,Up,1,5.0
2021-03-31 05:10,5.0,0.02271,Up,Up,1,5.0
2021-03-31 05:15,-1.0,0.02273,Up,Down,0,-1.0
2021-03-31 05:20,-1.0,0.02289,Up,Down,0,-1.0
2021-03-31 05:25,0.00019,0.02277,Up,Up,1,0.00019
2021-03-31 05:30,6.99999,0.0229,Up,Up,1,6.99999
2021-03-31 05:35,-9.9999,0.02287,Up,Down,0,-9.9999
2021-03-31 05:40,9.99999,0.02282,Up,Up,1,9.99999
2021-03-31 05:45,0.00014,0.02289,Up,Up,1,0.00014
2021-03-31 05:50,-0.0003,0.02297,Up,Down,0,-0.0003
2021-03-31 05:55,-0.0002,0.02357,Up,Down,0,-0.0002
2021-03-31 06:00,-9.9999,0.02406,Up,Down,0,-9.9999
2021-03-31 06:05,0.00014,0.02371,Up,Up,1,0.00014
2021-03-31 06:10,0.00069,0.02353,Up,Up,1,0.00069
2021-03-31 06:15,-0.0003,0.02425,Up,Down,0,-0.0003
2021-03-31 06:20,0.00056,0.02401,Up,Up,1,0.00056
2021-03-31 06:25,0.00018,0.02393,Up,Up,1,0.00018
2021-03-31 06:30,0.00061,0.02373,Up,Up,1,0.00061
2021-03-31 06:35,-0.0001,0.02406,Up,Down,0,-0.0001
2021-03-31 06:40,1.0,0.02402,Up,Up,1,1.0
2021-03-31 06:45,-4.0,0.02359,Up,Down,0,-4.0
2021-03-31 06:50,0.00049,0.02323,Up,Up,1,0.00049
2021-03-31 06:55,-0.0004,0.02345,Up,Down,0,-0.0004
2021-03-31 07:00,0.00014,0.02395,Up,Up,1,0.00014
2021-03-31 07:05,0.00086,0.02352,Up,Up,1,0.00086
2021-03-31 07:10,-0.0002,0.02412,Up,Down,0,-0.0002
2021-03-31 07:15,0.00043,0.02395,Up,Up,1,0.00043
2021-03-31 07:20,0.00014,0.02323,Up,Up,1,0.00014
2021-03-31 07:25,-0.0001,0.02305,Up,Down,0,-0.0001
2021-03-31 07:30,-4.9999,0.02318,Up,Down,0,-4.9999
2021-03-31 07:35,-0.0001,0.02374,Up,Down,0,-0.0001
2021-03-31 07:40,-4.0,0.02331,Up,Down,0,-4.0
2021-03-31 07:45,0.00012,0.0235,Up,Up,1,0.00012
2021-03-31 07:50,-0.0002,0.02341,Up,Down,0,-0.0002
2021-03-31 07:55,0.00025,0.02344,Up,Up,1,0.00025
2021-03-31 08:00,4.0,0.02348,Up,Up,1,4.0
2021-03-31 08:05,-8.0,0.02347,Up,Down,0,-8.0
2021-03-31 08:10,0.00055,0.02356,Up,Up,1,0.00055
2021-03-31 08:15,0.00053,0.02372,Up,Up,1,0.00053
2021-03-31 08:20,-0.0001,0.02415,Up,Down,0,-0.0001
2021-03-31 08:25,-5.0,0.02406,Up,Down,0,-5.0
2021-03-31 08:30,0.00035,0.02387,Up,Up,1,0.00035
2021-03-31 08:35,-0.0001,0.0236,Up,Down,0,-0.0001
2021-03-31 08:40,8.0,0.02374,Up,Up,1,8.0
2021-03-31 08:45,0.00021,0.02342,Up,Up,1,0.00021
2021-03-31 08:50,-8.9999,0.02331,Up,Down,0,-8.9999
2021-03-31 08:55,-0.0006,0.02369,Up,Down,0,-0.0006
2021-03-31 09:00,1.0,0.0241,Up,Up,1,1.0
2021-03-31 09:05,0.00043,0.02359,Up,Up,1,0.00043
2021-03-31 09:10,-5.9999,0.0232,Up,Down,0,-5.9999
2021-03-31 09:15,9.99999,0.02321,Up,Up,1,9.99999
2021-03-31 09:20,9.99999,0.02297,Up,Up,1,9.99999
2021-03-31 09:25,-0.0001,0.02278,Up,Down,0,-0.0001
2021-03-31 09:30,-0.0002,0.02309,Up,Down,0,-0.0002
2021-03-31 09:35,-0.0002,0.02308,Up,Down,0,-0.0002
2021-03-31 09:40,-0.0002,0.02335,Up,Down,0,-0.0002
2021-03-31 09:45,-0.0003,0.02405,Up,Down,0,-0.0003
2021-03-31 09:50,-0.0004,0.02373,Up,Down,0,-0.0004
2021-03-31 09:55,-0.0002,0.02358,Up,Down,0,-0.0002
2021-03-31 10:00,-0.0003,0.02347,Up,Down,0,-0.0003
2021-03-31 10:05,0.00012,0.02351,Up,Up,1,0.00012
2021-03-31 10:10,0.00021,0.02316,Up,Up,1,0.00021
2021-03-31 10:15,0.00035,0.02325,Up,Up,1,0.00035
2021-03-31 10:20,-0.0001,0.02331,Up,Down,0,-0.0001
2021-03-31 10:25,-2.9999,0.02295,Up,Down,0,-2.9999
2021-03-31 10:30,-0.0001,0.02311,Up,Down,0,-0.0001
2021-03-31 10:35,0.00033,0.02318,Up,Up,1,0.00033
2021-03-31 10:40,-6.0,0.0233,Up,Down,0,-6.0
2021-03-31 10:45,0.00038,0.02312,Up,Up,1,0.00038
2021-03-31 10:50,0.00014,0.02331,Up,Up,1,0.00014
2021-03-31 10:55,-0.0001,0.02315,Up,Down,0,-0.0001
2021-03-31 11:00,0.00011,0.02384,Up,Up,1,0.00011
2021-03-31 11:05,0.00022,0.02316,Up,Up,1,0.00022
2021-03-31 11:10,0.00027,0.02308,Up,Up,1,0.00027
2021-03-31 11:15,-0.0003,0.02325,Up,Down,0,-0.0003
2021-03-31 11:20,-0.0003,0.02357,Up,Down,0,-0.0003
2021-03-31 11:25,0.00019,0.02339,Up,Up,1,0.00019
2021-03-31 11:30,-0.0002,0.02285,Up,Down,0,-0.0002
2021-03-31 11:35,-0.0002,0.02299,Up,Down,0,-0.0002
2021-03-31 11:40,0.0,0.02366,Up,Down,0,0.0
2021-03-31 11:45,-0.0001,0.02311,Up,Down,0,-0.0001
2021-03-31 11:50,0.00028,0.02326,Up,Up,1,0.00028
2021-03-31 11:55,-0.0002,0.02329,Up,Down,0,-0.0002
2021-03-31 12:00,-0.0006,0.02387,Up,Down,0,-0.0006
2021-03-31 12:05,0.00018,0.02454,Up,Up,1,0.00018
2021-03-31 12:10,0.00045,0.02392,Up,Up,1,0.00045
2021-03-31 12:15,-8.0,0.02441,Up,Down,0,-8.0
2021-03-31 12:20,-1.0,0.02432,Up,Down,0,-1.0
2021-03-31 12:25,8.0,0.02352,Up,Up,1,8.0
2021-03-31 12:30,-0.0002,0.02342,Up,Down,0,-0.0002
2021-03-31 12:35,0.0004,0.02327,Up,Up,1,0.0004
2021-03-31 12:40,-0.0004,0.02365,Up,Down,0,-0.0004
2021-03-31 12:45,-8.9999,0.02353,Up,Down,0,-8.9999
2021-03-31 12:50,2.99999,0.02327,Up,Up,1,2.99999
2021-03-31 12:55,0.0,0.02322,Up,Down,0,0.0
2021-03-31 13:00,-0.0002,0.02353,Up,Down,0,-0.0002
2021-03-31 13:05,9.99999,0.02382,Up,Up,1,9.99999
2021-03-31 13:10,2.0,0.02338,Up,Up,1,2.0
2021-03-31 13:15,0.00013,0.02328,Up,Up,1,0.00013
2021-03-31 13:20,0.00024,0.02316,Up,Up,1,0.00024
2021-03-31 13:25,0.00038,0.02321,Up,Up,1,0.00038
2021-03-31 13:30,1.0,0.0236,Up,Up,1,1.0
2021-03-31 13:35,-1.0,0.02361,Up,Down,0,-1.0
2021-03-31 13:40,0.0,0.02311,Up,Down,0,0.0
2021-03-31 13:45,-4.0,0.02424,Up,Down,0,-4.0
2021-03-31 13:50,0.00039,0.02463,Up,Up,1,0.00039
2021-03-31 13:55,0.00068,0.02396,Up,Up,1,0.00068
2021-03-31 14:00,5.0,0.02449,Up,Up,1,5.0
2021-03-31 14:05,0.00021,0.02351,Up,Up,1,0.00021
2021-03-31 14:10,0.00015,0.02347,Up,Up,1,0.00015
2021-03-31 14:15,-0.0003,0.02386,Up,Down,0,-0.0003
2021-03-31 14:20,0.00019,0.02437,Up,Up,1,0.00019
2021-03-31 14:25,0.00015,0.02445,Up,Up,1,0.00015
2021-03-31 14:30,-0.0003,0.02391,Up,Down,0,-0.0003
2021-03-31 14:35,-0.0002,0.02393,Up,Down,0,-0.0002
2021-03-31 14:40,0.00021,0.02456,Up,Up,1,0.00021
2021-03-31 14:45,6.99999,0.02414,Up,Up,1,6.99999
2021-03-31 14:50,0.00087,0.02566,Up,Up,1,0.00087
2021-03-31 14:55,-9.0,0.02641,Up,Down,0,-9.0
2021-03-31 15:00,-0.0009,0.02625,Up,Down,0,-0.0009
2021-03-31 15:05,0.00017,0.02512,Up,Up,1,0.00017
2021-03-31 15:10,-0.0006,0.02387,Up,Down,0,-0.0006
2021-03-31 15:15,-2.9999,0.0238,Up,Down,0,-2.9999
2021-03-31 15:20,-1.0,0.02371,Up,Down,0,-1.0
2021-03-31 15:25,-0.0003,0.02418,Up,Down,0,-0.0003
2021-03-31 15:30,-0.0001,0.02403,Up,Down,0,-0.0001
2021-03-31 15:35,0.00043,0.02367,Up,Up,1,0.00043
2021-03-31 15:40,-8.0,0.0234,Up,Down,0,-8.0
2021-03-31 15:45,0.00062,0.02355,Up,Up,1,0.00062
2021-03-31 15:50,4.99999,0.02341,Up,Up,1,4.99999
2021-03-31 15:55,0.00052,0.02354,Up,Up,1,0.00052
2021-03-31 16:00,0.00046,0.02363,Up,Up,1,0.00046
2021-03-31 16:05,-0.0002,0.02314,Up,Down,0,-0.0002
2021-03-31 16:10,9.0,0.02341,Up,Up,1,9.0
2021-03-31 16:15,-0.0002,0.02346,Up,Down,0,-0.0002
2021-03-31 16:20,-0.0002,0.02314,Up,Down,0,-0.0002
2021-03-31 16:25,0.00032,0.02307,Up,Up,1,0.00032
2021-03-31 16:30,3.99999,0.02294,Up,Up,1,3.99999
2021-03-31 16:35,0.00026,0.02324,Up,Up,1,0.00026
2021-03-31 16:40,-0.0004,0.02322,Up,Down,0,-0.0004
2021-03-31 16:45,-0.0001,0.02334,Up,Down,0,-0.0001
2021-03-31 16:50,0.00037,0.02302,Up,Up,1,0.00037
2021-03-31 16:55,-0.0001,0.02288,Up,Down,0,-0.0001
2021-03-31 17:00,0.00039,0.02294,Up,Up,1,0.00039
2021-03-31 17:05,6.0,0.02306,Up,Up,1,6.0
2021-03-31 17:10,-0.0006,0.02363,Up,Down,0,-0.0006
2021-03-31 17:15,-5.0,0.02342,Up,Down,0,-5.0
2021-03-31 17:20,-0.0003,0.023,Up,Down,0,-0.0003
2021-03-31 17:25,4.0,0.02292,Up,Up,1,4.0
2021-03-31 17:30,-0.0001,0.02279,Up,Down,0,-0.0001
2021-03-31 17:35,-8.0,0.02297,Up,Down,0,-8.0
2021-03-31 17:40,-9.9999,0.02291,Up,Down,0,-9.9999
2021-03-31 17:45,1.0,0.02312,Up,Up,1,1.0
2021-03-31 17:50,-2.9999,0.02319,Up,Down,0,-2.9999
2021-03-31 17:55,-0.0001,0.0232,Up,Down,0,-0.0001
2021-03-31 18:00,-0.0001,0.02322,Up,Down,0,-0.0001
2021-03-31 18:05,-7.0,0.02342,Up,Down,0,-7.0
2021-03-31 18:10,0.0,0.02288,Up,Down,0,0.0
2021-03-31 18:15,-0.0001,0.02305,Up,Down,0,-0.0001
2021-03-31 18:20,9.99999,0.02316,Up,Up,1,9.99999
2021-03-31 18:25,-8.0,0.02295,Up,Down,0,-8.0
2021-03-31 18:30,-0.0002,0.02276,Up,Down,0,-0.0002
2021-03-31 18:35,-4.0,0.02293,Up,Down,0,-4.0
2021-03-31 18:40,-0.0001,0.02318,Up,Down,0,-0.0001
2021-03-31 18:45,0.00011,0.02329,Up,Up,1,0.00011
2021-03-31 18:50,-0.0005,0.02334,Up,Down,0,-0.0005
2021-03-31 18:55,0.00011,0.02407,Up,Up,1,0.00011
2021-03-31 19:00,0.00014,0.02357,Up,Up,1,0.00014
2021-03-31 19:05,-4.0,0.02286,Up,Down,0,-4.0
2021-03-31 19:10,-0.0001,0.02308,Up,Down,0,-0.0001
2021-03-31 19:15,4.0,0.02308,Up,Up,1,4.0
2021-03-31 19:20,-0.0001,0.02346,Up,Down,0,-0.0001
2021-03-31 19:25,-9.0,0.02315,Up,Down,0,-9.0
2021-03-31 19:30,9.0,0.02316,Up,Up,1,9.0
2021-03-31 19:35,5.99999,0.02318,Up,Up,1,5.99999
2021-03-31 19:40,-0.0001,0.02328,Up,Down,0,-0.0001
2021-03-31 19:45,-9.9999,0.02328,Up,Down,0,-9.9999
2021-03-31 19:50,0.00028,0.02346,Up,Up,1,0.00028
2021-03-31 19:55,2.99999,0.02368,Up,Up,1,2.99999
2021-03-31 20:00,-0.0002,0.0232,Up,Down,0,-0.0002
2021-03-31 20:05,0.00018,0.0229,Up,Up,1,0.00018
2021-03-31 20:10,-4.9999,0.02276,Up,Down,0,-4.9999
2021-03-31 20:15,-0.0001,0.02275,Up,Down,0,-0.0001
2021-03-31 20:20,0.00014,0.02268,Up,Up,1,0.00014
2021-03-31 20:25,0.00025,0.02268,Up,Up,1,0.00025
2021-03-31 20:30,5.99999,0.02287,Up,Up,1,5.99999
2021-03-31 20:35,-1.0,0.02283,Up,Down,0,-1.0
2021-03-31 20:40,1.0,0.0228,Up,Up,1,1.0
2021-03-31 20:45,0.00012,0.02276,Up,Up,1,0.00012
2021-03-31 20:50,3.99999,0.02275,Up,Up,1,3.99999
2021-03-31 20:55,-9.9999,0.02265,Up,Down,0,-9.9999
2021-03-31 21:00,-7.0,0.02275,Up,Down,0,-7.0
2021-03-31 21:05,-2.9999,0.01691,Up,Down,0,-2.9999
2021-03-31 21:10,-2.9999,0.01868,Up,Down,0,-2.9999
2021-03-31 21:15,9.99999,0.02264,Up,Up,1,9.99999
2021-03-31 21:20,2.99999,0.01788,Up,Up,1,2.99999
2021-03-31 21:25,-1.9999,0.02267,Up,Down,0,-1.9999
2021-03-31 21:30,1.99999,0.02262,Up,Up,1,1.99999
2021-03-31 21:35,-1.9999,0.02284,Up,Down,0,-1.9999
2021-03-31 21:40,-8.9999,0.02307,Up,Down,0,-8.9999
2021-03-31 21:45,-2.0,0.02318,Up,Down,0,-2.0
2021-03-31 21:50,0.0,0.02276,Up,Down,0,0.0
2021-03-31 21:55,-0.0001,0.02273,Up,Down,0,-0.0001
2021-03-31 22:00,-0.0002,0.02306,Up,Down,0,-0.0002
2021-03-31 22:05,-0.0001,0.02305,Up,Down,0,-0.0001
2021-03-31 22:10,0.00025,0.023,Up,Up,1,0.00025
2021-03-31 22:15,7.99999,0.02262,Up,Up,1,7.99999
2021-03-31 22:20,0.00013,0.02264,Up,Up,1,0.00013
2021-03-31 22:25,-0.0001,0.02259,Up,Down,0,-0.0001
2021-03-31 22:30,0.00026,0.02265,Up,Up,1,0.00026
2021-03-31 22:35,4.0,0.02262,Up,Up,1,4.0
2021-03-31 22:40,-1.0,0.02264,Up,Down,0,-1.0
2021-03-31 22:45,-0.0001,0.01925,Up,Down,0,-0.0001
2021-03-31 22:50,-0.0001,0.02104,Up,Down,0,-0.0001
2021-03-31 22:55,-0.0001,0.02268,Up,Down,0,-0.0001
2021-03-31 23:00,-1.0,0.02306,Up,Down,0,-1.0
2021-03-31 23:05,0.00015,0.02286,Up,Up,1,0.00015
2021-03-31 23:10,0.00012,0.02264,Up,Up,1,0.00012
2021-03-31 23:15,-5.9999,0.02259,Up,Down,0,-5.9999
2021-03-31 23:20,0.0,0.02102,Up,Down,0,0.0
2021-03-31 23:25,0.0,0.02265,Up,Down,0,0.0
2021-03-31 23:30,4.0,0.02263,Up,Up,1,4.0
2021-03-31 23:35,5.99999,0.0226,Up,Up,1,5.99999
2021-03-31 23:40,-5.0,0.02043,Up,Down,0,-5.0
2021-03-31 23:45,5.0,0.02264,Up,Up,1,5.0
